"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
NM-013,"Dona Ana County",1.51,113,0.8277,0.68
NM-015,"Eddy County",2.59,105,0.9745,1.62
NM-017,"Grant County",3.22,128,2.5398,0.68
NM-019,"Guadalupe County",2.41,107,0.8843,1.53
NM-021,"Harding County",2.34,87,0.3319,2.01
NM-023,"Hidalgo County",1.54,121,0.9859,0.55
NM-025,"Lea County",2.64,98,0.7597,1.88
NM-027,"Lincoln County",2.51,110,1.0667,1.44
NM-028,"Los Alamos County",3.95,124,2.5881,1.36
NM-029,"Luna County",1.62,121,1.0755,0.54
NM-031,"McKinley County",1.68,125,1.0907,0.59
NM-033,"Mora County",3.45,117,1.5748,1.88
NM-035,"Otero County",2.74,117,1.6072,1.13
NM-037,"Quay County",1.2,35,-0.8654,2.07
NM-039,"Rio Arriba County",2.99,127,2.0873,0.9
NM-041,"Roosevelt County",0.7,18,-1.4222,2.12
NM-043,"Sandoval County",2.75,128,1.8958,0.85
NM-045,"San Juan County",1.24,119,0.7918,0.45
NM-047,"San Miguel County",3.21,115,1.5039,1.71
NM-049,"Santa Fe County",4.02,128,2.9479,1.07
NM-051,"Sierra County",2.8,126,2.0215,0.78
NM-053,"Socorro County",2.87,127,2.1033,0.77
NM-055,"Taos County",3.56,126,2.4791,1.08
NM-057,"Torrance County",3.51,126,2.3729,1.14
NM-059,"Union County",2.07,76,0.0627,2.01
NM-061,"Valencia County",2.85,127,2.2071,0.64
NY-001,"Albany County",2.41,27,-1.2116,3.62
NY-003,"Allegany County",2.33,16,-1.6673,4
NY-005,"Bronx County",3.4,61,-0.1927,3.59
NY-007,"Broome County",4.52,90,0.7312,3.79
NY-009,"Cattaraugus County",2.55,22,-1.6599,4.21
NY-011,"Cayuga County",4.09,81,0.4324,3.66
NY-013,"Chautauqua County",2.06,11,-1.9364,4
NY-015,"Chemung County",3.16,46,-0.641,3.8
NY-017,"Chenango County",3.82,66,-0.1978,4.02
NY-019,"Clinton County",6.46,121,3.0337,3.43
NY-021,"Columbia County",2.52,30,-1.3071,3.83
NY-023,"Cortland County",3.79,60,-0.3539,4.14
NY-025,"Delaware County",4.54,86,0.4139,4.13
NY-027,"Dutchess County",2.84,38,-1.014,3.85
NY-029,"Erie County",2.36,30,-1.0855,3.45
NY-031,"Essex County",4.21,84,0.5579,3.65
NY-033,"Franklin County",6.25,116,2.4892,3.76
NY-035,"Fulton County",4.18,65,0.0288,4.15
NY-037,"Genesee County",2.53,51,-0.7904,3.32
NY-039,"Greene County",2.93,41,-1.0132,3.94
NY-041,"Hamilton County",4.86,86,0.7657,4.09
NY-043,"Herkimer County",5.19,95,0.9613,4.23
NY-045,"Jefferson County",3.48,80,0.2925,3.19
NY-047,"Kings County",3.03,49,-0.4609,3.49
NY-049,"Lewis County",4.48,84,0.6012,3.88
NY-051,"Livingston County",3.06,59,-0.367,3.43
NY-053,"Madison County",4.07,69,0.1271,3.94
NY-055,"Monroe County",2.6,59,-0.4146,3.01
NY-057,"Montgomery County",4.01,73,0.2244,3.79
NY-059,"Nassau County",3.67,83,0.173,3.5
NY-061,"New York County",3.13,55,-0.4183,3.55
NY-063,"Niagara County",2.29,50,-0.6013,2.89
NY-065,"Oneida County",4.45,79,0.4071,4.04
NY-067,"Onondaga County",4.56,92,0.8251,3.73
NY-069,"Ontario County",3.44,73,0.0855,3.35
NY-071,"Orange County",3.46,58,-0.4981,3.96
NY-073,"Orleans County",2.67,63,-0.3879,3.06
NY-075,"Oswego County",4.22,85,0.5972,3.62
NY-077,"Otsego County",4.93,88,0.8385,4.09
NY-079,"Putnam County",3.67,66,-0.2418,3.91
NY-081,"Queens County",3.24,63,-0.2613,3.5
NY-083,"Rensselaer County",2.32,18,-1.5065,3.83
NY-085,"Richmond County",2.9,43,-0.7119,3.61
NY-087,"Rockland County",3.66,66,-0.2864,3.95
NY-089,"St. Lawrence County",4.61,99,1.1658,3.44
NY-091,"Saratoga County",2.98,36,-0.8292,3.81
NY-093,"Schenectady County",2.61,31,-1.0177,3.63
NY-095,"Schoharie County",3.67,63,-0.1327,3.8
NY-097,"Schuyler County",3.12,50,-0.5974,3.72
NY-099,"Seneca County",3.95,85,0.5281,3.42
NY-101,"Steuben County",2.95,46,-0.9403,3.89
NY-103,"Suffolk County",3.28,72,0.0269,3.25
NY-105,"Sullivan County",4.79,89,0.5454,4.24
NY-107,"Tioga County",4.15,83,0.2828,3.87
NY-109,"Tompkins County",3.54,58,-0.3954,3.94
NY-111,"Ulster County",3.84,63,-0.3611,4.2
NY-113,"Warren County",3.25,53,-0.4227,3.67
NY-115,"Washington County",2.47,27,-1.1496,3.62
NY-117,"Wayne County",3.03,71,-0.1803,3.21
NY-119,"Westchester County",3.78,68,-0.1136,3.89
NY-121,"Wyoming County",2.47,31,-1.2162,3.69
NY-123,"Yates County",3.37,70,-0.1167,3.49
NC-001,"Alamance County",1.12,1,-2.9216,4.04
NC-003,"Alexander County",1.63,4,-2.7349,4.36
NC-005,"Alleghany County",1.36,2,-3.1177,4.48
NC-007,"Anson County",3.06,37,-1.2307,4.29
NC-009,"Ashe County",1.77,4,-2.9993,4.77
NC-011,"Avery County",1.47,2,-3.4647,4.93
NC-013,"Beaufort County",3.26,26,-1.7721,5.03
NC-015,"Bertie County",2.17,7,-2.5438,4.71
NC-017,"Bladen County",4.18,46,-0.8282,5.01
NC-019,"Brunswick County",4.08,43,-0.923,5
NC-021,"Buncombe County",1.15,1,-3.2187,4.37
