"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-019,"Berrien County",82,123,3.289,78.7
GA-021,"Bibb County",81.1,119,3.039,78.1
GA-023,"Bleckley County",81.3,115,2.507,78.8
GA-025,"Brantley County",80.8,117,2.517,78.3
GA-027,"Brooks County",82.2,123,3.621,78.6
GA-029,"Bryan County",81.6,113,2.528,79.1
GA-031,"Bulloch County",81.1,115,2.531,78.6
GA-033,"Burke County",80.6,116,2.868,77.7
GA-035,"Butts County",80.4,118,3.648,76.8
GA-037,"Calhoun County",82.1,122,3.01,79.1
GA-039,"Camden County",80.8,114,2.129,78.7
GA-043,"Candler County",81.2,117,2.446,78.8
GA-045,"Carroll County",77.3,108,2.646,74.7
GA-047,"Catoosa County",76.7,97,1.542,75.2
GA-049,"Charlton County",80.8,115,2.233,78.6
GA-051,"Chatham County",81.2,111,2.193,79
GA-053,"Chattahoochee County",80.9,115,2.613,78.3
GA-055,"Chattooga County",76.7,89,1.092,75.6
GA-057,"Cherokee County",76.7,100,1.743,75
GA-059,"Clarke County",79,110,2.712,76.3
GA-061,"Clay County",81.7,121,2.662,79
GA-063,"Clayton County",79.9,119,3.628,76.3
GA-065,"Clinch County",81.7,122,2.938,78.8
GA-067,"Cobb County",78.1,113,2.531,75.6
GA-069,"Coffee County",82.2,124,3.381,78.8
GA-071,"Colquitt County",82,123,3.56,78.4
GA-073,"Columbia County",80.6,116,3.112,77.5
GA-075,"Cook County",82,123,3.42,78.6
GA-077,"Coweta County",78.9,113,3.009,75.9
GA-079,"Crawford County",80.7,117,2.977,77.7
GA-081,"Crisp County",82.1,122,3.683,78.4
GA-083,"Dade County",74.5,77,0.52,74
GA-085,"Dawson County",74.9,97,1.562,73.3
GA-087,"Decatur County",82.4,121,2.891,79.5
GA-089,"DeKalb County",79.3,117,3.439,75.9
GA-091,"Dodge County",81.5,116,2.575,78.9
GA-093,"Dooly County",81.8,121,3.292,78.5
GA-095,"Dougherty County",82.7,124,3.429,79.3
GA-097,"Douglas County",78.2,113,2.985,75.2
GA-099,"Early County",82.1,120,2.659,79.4
GA-101,"Echols County",81.6,121,2.795,78.8
GA-103,"Effingham County",80.9,113,2.409,78.5
